,price,host_is_superhost,host_total_listings_count,host_has_profile_pic,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,security_deposit,cleaning_fee,minimum_nights,maximum_nights,instant_bookable,cancellation_policy
41,85.0,0,35.0,1,6,1,1,2.0,1.0,0.0,2.0,1,0.0,155.0,30.0,1125.0,0,4
42,85.0,0,35.0,1,6,2,1,2.0,1.0,1.0,2.0,1,0.0,155.0,30.0,365.0,0,4
43,104.0,0,1.0,1,1,1,1,2.0,1.5,1.0,1.0,2,200.0,0.0,10.0,28.0,0,2
44,150.0,0,35.0,1,11,1,1,3.0,1.0,2.0,2.0,1,0.0,205.0,30.0,1125.0,0,4
45,120.0,0,35.0,1,7,1,1,3.0,1.0,2.0,2.0,1,0.0,205.0,30.0,1125.0,0,4
46,95.0,1,2.0,1,1,1,1,2.0,1.0,1.0,1.0,1,2000.0,75.0,31.0,125.0,0,1
47,116.0,0,4.0,1,5,1,1,2.0,1.0,0.0,2.0,1,100.0,75.0,3.0,30.0,0,2
48,125.0,1,3.0,1,4,2,2,2.0,3.0,1.0,1.0,1,0.0,30.0,1.0,180.0,1,2
49,78.0,1,1.0,1,26,2,1,2.0,1.0,1.0,1.0,1,400.0,100.0,30.0,365.0,0,1
50,160.0,0,2.0,1,2,1,2,2.0,1.0,1.0,1.0,1,150.0,30.0,2.0,13.0,0,2
51,119.0,1,1.0,1,4,1,1,2.0,1.0,1.0,1.0,1,100.0,175.0,30.0,180.0,1,1
52,90.0,1,3.0,1,6,2,2,2.0,1.0,1.0,1.0,1,100.0,60.0,3.0,30.0,0,1
53,163.0,0,2.0,1,3,1,1,4.0,1.0,2.0,2.0,1,200.0,0.0,60.0,365.0,0,1
54,195.0,1,1.0,1,20,1,1,2.0,1.0,1.0,1.0,1,500.0,120.0,30.0,365.0,1,1
55,112.0,1,4.0,1,21,1,1,4.0,1.0,1.0,2.0,1,1000.0,200.0,30.0,365.0,0,1
56,116.0,1,4.0,1,28,1,1,4.0,1.0,1.0,2.0,1,3000.0,200.0,30.0,365.0,0,1
57,175.0,1,1.0,1,6,1,1,2.0,1.0,1.0,1.0,1,0.0,0.0,30.0,90.0,0,1
58,99.0,0,4.0,1,1,1,2,1.0,1.0,1.0,1.0,1,300.0,100.0,2.0,360.0,1,1
59,350.0,0,1.0,1,17,2,1,4.0,2.0,2.0,2.0,1,0.0,125.0,2.0,7.0,0,2
60,225.0,1,1.0,1,2,1,1,2.0,1.0,2.0,1.0,1,500.0,150.0,29.0,360.0,0,1
61,109.0,0,4.0,1,15,1,2,4.0,2.0,1.0,1.0,1,0.0,40.0,2.0,30.0,1,2
62,150.0,1,1.0,1,6,2,2,2.0,1.0,1.0,1.0,2,0.0,80.0,30.0,120.0,1,3
63,349.0,0,5.0,1,4,2,1,6.0,2.0,3.0,4.0,1,800.0,185.0,4.0,180.0,1,1
64,85.0,1,2.0,1,29,1,2,2.0,1.0,1.0,1.0,1,0.0,45.0,2.0,28.0,0,2
65,125.0,0,4.0,1,1,1,1,2.0,1.0,1.0,1.0,1,300.0,125.0,2.0,180.0,1,1
66,90.0,1,1.0,1,13,1,2,2.0,2.0,1.0,1.0,1,350.0,75.0,30.0,150.0,0,3
67,95.0,0,2.0,1,12,1,1,2.0,1.0,0.0,1.0,1,500.0,75.0,30.0,360.0,0,1
68,216.0,0,35.0,1,21,1,1,6.0,2.0,3.0,4.0,1,0.0,205.0,30.0,1125.0,0,4
69,326.0,1,7.0,1,1,1,1,2.0,1.0,1.0,1.0,1,350.0,180.0,31.0,7300.0,0,1
70,80.0,1,1.0,1,12,2,1,2.0,1.0,2.0,2.0,1,0.0,100.0,30.0,365.0,0,2
71,46.0,0,42.0,1,18,2,2,2.0,1.0,1.0,1.0,1,150.0,50.0,30.0,1125.0,0,1
72,45.0,0,42.0,1,18,2,2,2.0,1.0,1.0,1.0,1,150.0,35.0,30.0,1125.0,0,1
