,id,host_response_time,host_response_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,neighbourhood_cleansed,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,security_deposit,cleaning_fee,minimum_nights,maximum_nights,number_of_reviews,instant_bookable,cancellation_policy,price_level
1082,3944915.0,2,100.0,0,21.0,1,4,94102.0,37.77385,-122.4238,1,1,4.0,1.0,2.0,2.0,1,135.0,0.0,100.0,30.0,1125.0,15.0,0,1,"(36.9, 264.8]"
1083,3946571.0,1,100.0,1,1.0,1,1,94110.0,37.7582,-122.41983,2,2,2.0,1.5,1.0,1.0,1,120.0,500.0,50.0,2.0,7.0,277.0,1,2,"(36.9, 264.8]"
1084,3994686.0,1,100.0,1,1.0,1,11,94107.0,37.76057,-122.39653,1,1,4.0,1.0,2.0,2.0,1,450.0,300.0,125.0,3.0,10.0,63.0,0,2,"(264.8, 491.6]"
1085,4013746.0,2,90.0,1,1.0,1,10,94116.0,37.75085,-122.47896000000001,1,1,4.0,1.0,0.0,4.0,1,150.0,150.0,60.0,2.0,28.0,294.0,0,2,"(36.9, 264.8]"
1086,4014209.0,1,100.0,0,3.0,1,10,94122.0,37.76256,-122.50589,1,1,2.0,1.0,1.0,2.0,1,117.0,1000.0,200.0,90.0,1125.0,1.0,0,1,"(36.9, 264.8]"
1087,4015985.0,3,100.0,0,1.0,1,2,94103.0,37.78034,-122.40326,1,2,2.0,1.0,1.0,1.0,1,77.0,0.0,100.0,45.0,1125.0,2.0,1,1,"(36.9, 264.8]"
1088,4022209.0,1,100.0,0,14.0,1,22,94123.0,37.79707,-122.42504,3,2,2.0,1.0,1.0,1.0,1,109.0,500.0,0.0,1.0,1125.0,61.0,1,2,"(36.9, 264.8]"
1089,4022990.0,1,100.0,0,14.0,1,13,94123.0,37.79744,-122.42535,3,2,4.0,1.0,1.0,2.0,1,129.0,200.0,0.0,1.0,1125.0,254.0,1,2,"(36.9, 264.8]"
1090,4023585.0,2,100.0,0,1.0,1,26,94112.0,37.72065,-122.45629,1,1,6.0,2.0,3.0,1.0,1,225.0,1000.0,250.0,30.0,365.0,29.0,0,2,"(36.9, 264.8]"
1091,4026354.0,1,100.0,0,1.0,1,24,94116.0,37.74474,-122.49085,2,1,4.0,1.0,2.0,2.0,1,209.0,200.0,89.0,1.0,15.0,292.0,1,1,"(36.9, 264.8]"
1092,4033038.0,1,100.0,1,4.0,1,4,94115.0,37.78631,-122.44237,2,1,12.0,3.5,4.0,8.0,1,1172.0399999999972,2500.0,500.0,2.0,15.0,15.0,1,2,"(945.2, 1172.0]"
1093,4037590.0,1,67.0,0,1.0,1,9,94133.0,37.79707,-122.41051000000002,1,1,5.0,2.0,3.0,4.0,1,550.0,250.0,150.0,30.0,60.0,2.0,1,1,"(491.6, 718.4]"
1094,4052091.0,2,100.0,1,4.0,1,4,94115.0,37.780390000000004,-122.43315,2,2,2.0,1.0,1.0,1.0,1,175.0,0.0,30.0,3.0,6.0,164.0,0,2,"(36.9, 264.8]"
1095,4059549.0,1,100.0,0,14.0,1,13,94123.0,37.79793,-122.42527,3,2,4.0,1.0,1.0,2.0,1,129.0,200.0,0.0,1.0,1125.0,219.0,1,2,"(36.9, 264.8]"
1096,4061282.0,1,100.0,1,1.0,1,22,94115.0,37.78915,-122.44661,1,2,1.0,1.0,1.0,1.0,1,155.0,1000.0,80.0,4.0,1125.0,74.0,0,2,"(36.9, 264.8]"
1097,4068598.0,nothing,0.0,1,1.0,1,14,94124.0,37.73908,-122.38356999999999,2,1,4.0,1.0,2.0,2.0,1,210.0,500.0,59.0,31.0,1125.0,158.0,1,1,"(36.9, 264.8]"
1098,4069838.0,2,95.0,0,6.0,1,19,94112.0,37.72671,-122.43538000000001,1,1,4.0,1.0,2.0,2.0,1,155.0,0.0,50.0,2.0,29.0,402.0,0,3,"(36.9, 264.8]"
1099,4069917.0,1,100.0,1,2.0,1,4,94117.0,37.769420000000004,-122.43032,2,1,2.0,1.0,1.0,2.0,1,225.0,0.0,100.0,4.0,30.0,86.0,0,2,"(36.9, 264.8]"
1100,4074316.0,3,100.0,0,0.0,1,5,94114.0,37.76177,-122.42882,1,1,2.0,1.0,1.0,1.0,1,210.0,0.0,100.0,5.0,1125.0,9.0,0,1,"(36.9, 264.8]"
1101,4075971.0,nothing,0.0,0,1.0,1,6,94112.0,37.7346,-122.42473000000001,2,1,4.0,1.5,2.0,4.0,1,275.0,5000.0,275.0,30.0,90.0,103.0,0,1,"(264.8, 491.6]"
1102,4077186.0,1,100.0,0,1.0,1,12,94118.0,37.776270000000004,-122.45888000000001,1,1,4.0,1.0,2.0,2.0,1,175.0,250.0,100.0,30.0,1125.0,165.0,0,1,"(36.9, 264.8]"
1103,4093013.0,4,40.0,0,2.0,1,4,94115.0,37.77852,-122.44247,1,1,4.0,2.0,2.0,2.0,1,1172.0399999999972,150.0,50.0,1.0,1125.0,3.0,0,2,"(945.2, 1172.0]"
1104,4093807.0,1,100.0,1,6.0,1,6,94110.0,37.743829999999996,-122.40959,2,2,1.0,1.0,1.0,1.0,1,119.0,500.0,50.0,2.0,30.0,113.0,1,2,"(36.9, 264.8]"
1105,4093967.0,1,100.0,1,2.0,1,6,94110.0,37.74437,-122.40903999999999,2,2,3.0,2.0,1.0,2.0,1,139.0,500.0,60.0,2.0,90.0,255.0,1,2,"(36.9, 264.8]"
1106,4097700.0,1,100.0,1,1.0,1,13,94123.0,37.79637,-122.44636000000001,1,1,2.0,1.0,1.0,1.0,1,220.0,200.0,50.0,4.0,1125.0,26.0,1,3,"(36.9, 264.8]"
1107,4100473.0,2,100.0,1,2.0,1,4,94117.0,37.77649,-122.43672,1,1,4.0,1.0,1.0,1.0,1,170.0,500.0,160.0,30.0,1125.0,59.0,0,1,"(36.9, 264.8]"
1108,4104344.0,2,94.0,1,2.0,1,5,94114.0,37.76255,-122.44548,2,2,2.0,1.0,1.0,1.0,1,123.0,500.0,35.0,2.0,100.0,180.0,0,2,"(36.9, 264.8]"
1109,4105892.0,1,100.0,1,2.0,1,6,94110.0,37.744609999999994,-122.40966,2,2,3.0,2.0,1.0,2.0,1,139.0,500.0,60.0,2.0,90.0,162.0,1,2,"(36.9, 264.8]"
